,aliceleaves,allensua,apexclimber,ask5566,badkidxd,best5566,conshelity,ej2000,funnyrain,gggg9999,kingchang711,lordwen,mahoro,omegawind,phantasm,playlemon,plice,recx,remora,sheagia,simata,sofaly,superjim,urdie,vonannes,waijr,wangakechi,wangyc,webster1112,wegoyusheng,whaleegg,wl760713,yankeehater,zaknafein
aliceleaves,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
allensua,0.00E+00,1.00E+00,1.20E-02,6.83E-03,1.19E-02,1.02E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.63E-02,1.55E-02,0.00E+00,1.72E-02,0.00E+00,0.00E+00,2.40E-02,6.87E-03,2.43E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E-02,0.00E+00,6.86E-03,3.85E-02,0.00E+00,1.66E-02
apexclimber,0.00E+00,1.20E-02,1.00E+00,1.40E-02,0.00E+00,1.54E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.05E-03,9.02E-03,1.69E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.97E-03,0.00E+00,3.93E-02,0.00E+00,0.00E+00,9.27E-03,0.00E+00,3.07E-02,0.00E+00,0.00E+00,0.00E+00
ask5566,0.00E+00,6.83E-03,1.40E-02,1.00E+00,0.00E+00,3.21E-02,1.53E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.79E-03,0.00E+00,0.00E+00,0.00E+00,1.31E-02,6.09E-03,8.21E-03,0.00E+00,8.28E-03,0.00E+00,8.27E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.25E-03,8.32E-03,1.17E-02,0.00E+00,0.00E+00,0.00E+00
badkidxd,0.00E+00,1.19E-02,0.00E+00,0.00E+00,1.00E+00,8.30E-03,1.65E-02,0.00E+00,1.36E-02,0.00E+00,0.00E+00,1.07E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.17E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
best5566,0.00E+00,1.02E-02,1.54E-02,3.21E-02,8.30E-03,1.00E+00,8.39E-03,3.13E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-02,7.13E-03,0.00E+00,0.00E+00,2.38E-02,0.00E+00,0.00E+00,2.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.46E-03,0.00E+00,1.28E-02,1.61E-02,8.41E-03,1.68E-02,0.00E+00,0.00E+00,0.00E+00
conshelity,0.00E+00,0.00E+00,0.00E+00,1.53E-02,1.65E-02,8.39E-03,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.37E-02,0.00E+00,0.00E+00,1.67E-02,0.00E+00,0.00E+00,8.23E-03,1.68E-02,1.66E-02,0.00E+00,0.00E+00,0.00E+00,1.68E-02,0.00E+00,1.76E-02,1.85E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ej2000,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.13E-02,0.00E+00,1.00E+00,0.00E+00,3.46E-02,0.00E+00,0.00E+00,0.00E+00,8.44E-03,0.00E+00,0.00E+00,8.34E-03,1.54E-02,2.15E-02,1.80E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.28E-02,6.74E-03,8.36E-03,0.00E+00,0.00E+00,1.70E-02,0.00E+00
funnyrain,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E-02,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.38E-02,0.00E+00,0.00E+00,2.80E-02,0.00E+00
gggg9999,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E-02,0.00E+00,1.00E+00,0.00E+00,4.46E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
